"ï»¿""Date""",Column,Last Edited by: Name,Last Edited by: Username,Last Edited by: Role,Last Edited by: IP Address,Type,Value
10/22/15 13:42,midterm,Thomas D Citriniti,citrit,P,104.129.194.71,Grade,26
10/22/15 13:41,midterm,Thomas D Citriniti,citrit,P,104.129.194.71,Grade,26
10/22/15 13:37,midterm,Thomas D Citriniti,citrit,P,104.129.194.71,Grade,26
10/22/15 13:43,midterm,Thomas D Citriniti,citrit,P,104.129.194.71,Grade,27
10/22/15 13:42,midterm,Thomas D Citriniti,citrit,P,104.129.194.71,Grade,27
10/22/15 13:38,midterm,Thomas D Citriniti,citrit,P,104.129.194.71,Grade,27
10/22/15 13:37,midterm,Thomas D Citriniti,citrit,P,104.129.194.71,Grade,27
10/22/15 13:45,midterm,Thomas D Citriniti,citrit,P,104.129.194.71,Grade,28
10/22/15 13:45,midterm,Thomas D Citriniti,citrit,P,104.129.194.71,Grade,28
10/22/15 13:42,midterm,Thomas D Citriniti,citrit,P,104.129.194.71,Grade,28
10/22/15 13:37,midterm,Thomas D Citriniti,citrit,P,104.129.194.71,Grade,28
10/22/15 13:45,midterm,Thomas D Citriniti,citrit,P,104.129.194.71,Grade,29
10/22/15 13:36,midterm,Thomas D Citriniti,citrit,P,104.129.194.71,Grade,29
10/22/15 13:43,midterm,Thomas D Citriniti,citrit,P,104.129.194.71,Grade,30
